nm, %R
233.000000, 100.333700
232.000000, 100.255100
231.000000, 100.289800
230.000000, 100.320900
229.000000, 100.389100
228.000000, 99.934900
227.000000, 99.938800
226.000000, 100.120900
225.000000, 100.019000
224.000000, 100.051100
223.000000, 100.060200
222.000000, 100.552800
221.000000, 100.577700
220.000000, 100.171700
219.000000, 100.046800
218.000000, 99.944000
217.000000, 100.297300
216.000000, 100.062200
215.000000, 100.022300
214.000000, 100.192600
213.000000, 100.231800
212.000000, 100.099500
211.000000, 99.991100
210.000000, 100.018400
209.000000, 100.354900
208.000000, 100.173700
207.000000, 100.162800
206.000000, 99.996300
205.000000, 100.180600
204.000000, 99.908800
203.000000, 100.264300
202.000000, 100.226000
201.000000, 100.260000
200.000000, 100.165300
