wavelength_nm,Re_eps_parallel_nominal_design,Im_eps_parallel_nominal_design,Re_eps_perpendicular_nominal_design,Im_eps_perpendicular_nominal_design,real_part_product_nominal_design,Re_eps_parallel_secondary_sensitivity,Im_eps_parallel_secondary_sensitivity,Re_eps_perpendicular_secondary_sensitivity,Im_eps_perpendicular_secondary_sensitivity,real_part_product_secondary_sensitivity
313.533936,-2.054932084412334,2.1019821378325,6.789267180566306,0.8522878438008251,-13.951482958993369,-3.081949389507252,2.508578803602639,8.490984154865819,1.623524783740259,-26.16878343240446
315.117401,-2.09112897944975,2.1159544884266666,6.775032611684101,0.8398413188369324,-14.16746703100975,-3.124824933295715,2.5252538941784204,8.469227318491603,1.597422449170574,-26.46485269057177
316.700928,-2.1273750285415005,2.129787417288333,6.761020403196491,0.8276640999994797,-14.383225973219801,-3.1677599197373993,2.5417625939953954,8.447799101362612,1.5719489976979732,-26.760599403290104
318.284454,-2.163686974211001,2.14346805023,6.747209389557498,0.8157369628945802,-14.598849068459717,-3.2107729346499796,2.558089538549131,8.426674997660992,1.5470624458123665,-27.056140011581594
319.868011,-2.2000788471191663,2.156992745133333,6.73360152081944,0.8040482180927239,-14.8144542708843,-3.2538814204500506,2.5742303812085643,8.405858413382214,1.5227355090662318,-27.351666514238126
321.451599,-2.236428674048917,2.170345615425,6.720814801085731,0.7927288259049756,-15.0306229341205,-3.2969886024045643,2.5901661623829333,8.386166709558392,1.4992326109926002,-27.649096059278605
323.035217,-2.272881724475833,2.18352414781,6.708270485489507,0.7816279079161278,-15.247105389309723,-3.340223216010987,2.6058938826183162,8.366836676824272,1.4762423343158868,-27.947102112500648
324.618835,-2.309474388223917,2.1965203077083335,6.695908953340063,0.770718113567987,-15.46403023361809,-3.3836245069659125,2.6214039531666833,8.347790542081675,1.4537066716664488,-28.245788657205818
326.202515,-2.346225997002751,2.2093218439025004,6.683726045745575,0.7599868256711795,-15.681531805372668,-3.427215546405876,2.6366817529977293,8.329024170830872,1.4315980379540296,-28.545361124661873
327.786194,-2.3831583223847503,2.2219279970158334,6.671705143934032,0.7494215349673599,-15.899729638263537,-3.4710216208366527,2.6517263758448513,8.310514399617773,1.4098881931915068,-28.845975161347624
329.369934,-2.420294012332751,2.2343338179133334,6.659856665679314,0.7390137070840038,-16.118811210938002,-3.515071152173145,2.6665319152377074,8.29227431864266,1.3885576202092929,-29.147934243367036
330.953644,-2.4576582156440003,2.2465273614116668,6.6481673673414665,0.7287498368825546,-16.3389231493231,-3.5593934572693278,2.6810841153778417,8.274287053709052,1.367577384947054,-29.451443202540304
332.537415,-2.4952799507655827,2.25850965261,6.636628259610235,0.7186190359258997,-16.5602454368897,-3.6040231677521577,2.6953841996543564,8.256538588415692,1.3469230250834987,-29.756756358089852
334.121185,-2.5332061076219174,2.2702794871683336,6.625220667127946,0.7086045158918105,-16.783049458311467,-3.6490155478441193,2.7094307307658867,8.239002363526701,1.3265588621224362,-30.06424772323338
335.705017,-2.5714781143835834,2.28185589744,6.61393815671329,0.6986972832084488,-17.007597219874725,-3.6944207355177925,2.723246422586777,8.221664172644056,1.3064635395247521,-30.374286599879937
337.288818,-2.610122752174001,2.293272332185,6.602772827805905,0.6888949810157515,-17.23404758529246,-3.740271387848731,2.736871194033956,8.20450578828692,1.2866280169519235,-30.687078251368863
338.872681,-2.6491616021077515,2.30456282112,6.591693063597886,0.6791934289031885,-17.46246015696353,-3.786591869244356,2.7503456573583005,8.187478461788162,1.2670397518029968,-31.00263937302034
340.456543,-2.6885696394666683,2.3157576916466667,6.580842211467362,0.6696251076535699,-17.69305257187184,-3.833364829315382,2.7637060063388255,8.170764146909256,1.247759859928623,-31.321519909393047
342.040436,-2.7283024242794163,2.3268835085766666,6.570424658105131,0.660233679385047,-17.926105523253483,-3.880554602608451,2.776983944348394,8.154625647991057,1.2288717840388754,-31.644470090860622
343.624359,-2.768451926459334,2.3379722929374998,6.560068103232218,0.6509467570400839,-18.16123317809766,-3.9282417428184013,2.790217686398168,8.138569444852383,1.2102276143168547,-31.970268220095512
345.208313,-2.8090162577401663,2.349043014578333,6.549767589565235,0.6417672822752184,-18.398403643508367,-3.9764239964224197,2.8034298717678388,8.122586490200636,1.1918308243905895,-32.29884783265037
346.792267,-2.8499965871790014,2.3601278762,6.539515033119533,0.6326988334150001,-18.637595526196442,-4.025102758614012,2.8166589322838598,8.106661905795285,1.173685557526631,-32.63014720016773
348.376251,-2.891390970990667,2.3712430420208337,6.529298910244713,0.6237425514412929,-18.878755915980765,-4.074275014993491,2.8299241588882227,8.090779257224558,1.1557921860724405,-32.964059779537614
349.960236,-2.9331890952575006,2.382413691251667,6.519131727085336,0.6149058401883162,-19.121846092433902,-4.123929845936355,2.8432556013294246,8.074952546080981,1.1381630602498736,-33.300537809303115
351.54425,-2.975388248724417,2.3936595762083335,6.509001942877788,0.6061899297840566,-19.36680789176297,-4.1740633209902755,2.8566768327101717,8.059165383110265,1.1207987494193667,-33.6394666234351
353.128296,-3.017976181580667,2.4050016722958336,6.498899241813324,0.597598167689416,-19.613523118285265,-4.224660126567372,2.870212885810445,8.043403314300818,1.1037039544832157,-33.98064526382651
354.712372,-3.0609473339114164,2.4164581685941666,6.488838135208215,0.5891351000641778,-19.861991790148313,-4.275715015871496,2.883885468112779,8.02768464670797,1.0868861067127769,-34.32409178661033
356.296448,-3.1042860723980845,2.4280464112975,6.478801825732633,0.5808026655330764,-20.112054273449097,-4.327207943209737,2.8977152811703544,8.011987545409257,1.0703474282837178,-34.669536147392414
357.880554,-3.147982768591416,2.439783844569167,6.468797651640774,0.5726044738025007,-20.363663540869773,-4.379128111891332,2.9117231434561703,7.996321564641169,1.0540936137577013,-35.016916555443025
359.464661,-3.1920208310676665,2.4516861579733336,6.458826044235926,0.5645439714586488,-20.61670727744345,-4.431455721132451,2.9259277794433802,7.98068784067805,1.0381300826853068,-35.36606479014493
361.048798,-3.236316263651,2.463765652653333,6.449147563947925,0.5566694226684249,-20.8714811478899,-4.484112028699944,2.9403438697455204,7.965427005808281,1.0225500541496193,-35.71786705047629
362.632965,-3.2808870345020846,2.4760362447175006,6.439635950738324,0.5489592135538682,-21.12771809769087,-4.537108065110257,2.954988022331691,7.950374987242618,1.0073097898381396,-36.071710475269334
364.217133,-3.3257385799706674,2.488514714625,6.4301507727273375,0.5413934479424745,-21.385000499887504,-4.590438525335822,2.9698802635871875,7.935349844441879,0.9923689623692012,-36.42673563794362
365.801331,-3.3708500694814174,2.5012080980208333,6.420702938980094,0.5339750060922785,-21.64322694798059,-4.644079243051918,2.9850289900961697,7.920367772547464,0.9777323656746233,-36.78281556982503
367.385529,-3.41617156167775,2.5141234817766667,6.411306211605714,0.5267116822968289,-21.90212195329535,-4.697971309672951,3.0004426595784834,7.905449437085921,0.9634141211962861,-37.13957464549984
368.969757,-3.4616808023379173,2.527241007208333,6.401951861022392,0.5195998259974691,-22.16151385479272,-4.752086779781786,3.016097571987743,7.89058853086627,0.9494072431157837,-37.49676144222739
370.554016,-3.5073511594694162,2.540544302051667,6.392654699385805,0.5126397209196581,-22.421284871978415,-4.806394563110862,3.031974188092805,7.875808603098949,0.935712190159663,-37.85424365003654
372.138245,-3.553169664533918,2.5540064978750006,6.383421410541582,0.5058270298325818,-22.681379311872664,-4.860879182554177,3.0480404421701044,7.86112308754927,0.9223208296680792,-38.211969567764264
373.722534,-3.599129601064333,2.5676147693,6.374255178718787,0.49915780239348845,-22.941770498464408,-4.915532622445623,3.0642810279657704,7.846538905580087,0.909225247251333,-38.56991796366769
